Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
4. Vanishing Gradient,மறைந்துபோகும் சாய்வு,A problem in deep networks where learning stops because gradients become too small.,An AI failing to remember the beginning of a very long Tamil sentence.,ஆழமான வலைப்பின்னல்களில் தரவு மிகச் சிறிதாகி கற்றல் நின்றுபோகும் நிலை.,ஒரு நீண்ட தமிழ் வாக்கியத்தின் தொடக்கத்தை AI நினைவில் கொள்ளத் தவறுதல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-l0Rsaz_qdrv2Y-TE2IRAZQoanYnlHh1K_sKY4cIhXM1IJp5BzhwlQLVXCk5M,NLP
5. Variable,மாறி,A symbolic name associated with a value that may change.,"A variable named ""word_count"" storing the number of Tamil tokens.",மதிப்பு மாறக்கூடிய ஒரு தரவைக் குறிக்கப் பயன்படும் பெயர்.,"தமிழ் சொற்களின் எண்ணிக்கையைச் சேமிக்க ""word_count"" என்ற மாறியைப் பயன்படுத்தல்.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQGwTu8LIBaZesSN8DSQd-M0rBHudTGLxrtwCqQsAD7fvE9rm1XS__6w4-ej3iT,NLP
6. Variance,மாறுபாடு,A measure of how much a model's predictions vary for different datasets.,A Tamil AI that works perfectly on news but fails on poems.,வெவ்வேறு தரவுகளில் ஒரு மாதிரி எவ்வளவு மாறுபட்ட முடிவுகளைத் தருகிறது என்ற அளவு.,செய்திகளில் சிறப்பாகச் செயல்பட்டு கவிதைகளில் தோல்வியடையும் தமிழ் AI.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTrVfEpTa6zWphmPQ3Dr5nW4JG22k8mx3ROvLmAgFK7gRut0CYYE-87ZFmECmDt,NLP
7. Variational Autoencoder (VAE),மாறுபாட்டுத் தானியங்கி குறியாக்கி,A type of model used to generate new text data from learned patterns.,"Using a VAE to create new, realistic-looking Tamil sentences.",கற்ற அமைப்புகளிலிருந்து புதிய உரைத் தரவுகளை உருவாக்கப் பயன்படும் மாதிரி.,புதிய மற்றும் உண்மையானது போன்ற தமிழ் வாக்கியங்களை உருவாக்க VAE-ஐப் பயன்படுத்தல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8-7uxB5YFPVcsVvphpG5qYyA0TCnAyolSzDK-oHs_QZQHZFeiV2uTsZpVfMmc,NLP
8. Vector,வெக்டர் (திசையன்),A mathematical array of numbers representing a word or sentence.,"The word ""வணக்கம்"" represented as [0.12, -0.5, 0.8].",ஒரு சொல் அல்லது வாக்கியத்தைக் குறிக்கும் எண்களின் தொகுப்பு.,"""வணக்கம்"" என்ற சொல்லை [0.12, -0.5, 0.8] போன்ற எண்களாகக் குறித்தல்.",https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQMwgpL0vbSzyXvOXofZaT7pTwJmTWcEtldcgiwn1ompURKAaqjGaOiqAjmdHiW,NLP
9. Vector Space Model,வெக்டர் வெளி மாதிரி,A model representing text documents as vectors in a multidimensional space.,Mapping Tamil documents as points in a graph to find similarities.,ஆவணங்களை எண்களாக மாற்றி ஒரு வெளியில் அவற்றின் தொடர்பை ஆராய்தல்.,தமிழ் ஆவணங்களை வரைபடத்தில் புள்ளிகளாகக் குறித்து ஒப்புமையைக் கண்டறிதல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ55NEznhhKiEljqSV9d6OUkHQbXMHEzJj2bMouXHFC4bOnUOKJGeY0QK1oFzw4,NLP
10. Vectorization,வெக்டராக்கம்,The process of converting text into numerical vectors.,Turning a Tamil book into a matrix of numbers for an AI.,உரையை எண்களாக மாற்றும் செயல்முறை.,ஒரு தமிழ் புத்தகத்தை AI-க்காக எண்களின் அணியாக (Matrix) மாற்றுதல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR6AzUDRDH94QDYv2TcY2goTeBZ9RcBlV4FHjtzPwDUos1gGtlPVxSpgG23rRGT,NLP
1. Wait-k Policy,வெயிட்-கே கொள்கை,A policy where a model waits for 'k' words before translating.,A Tamil AI waiting for 3 words before translating.,மொழிபெயர்க்கத் தொடங்கும் முன் 'k' சொற்களுக்காகக் காத்திருக்கும் முறை.,மொழிபெயர்ப்பிற்கு முன் 3 சொற்கள் வரும் வரை காத்திருக்கும் ஒரு AI.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRj2Sl6m9z4NklUjVYfhCFBh9bt79OPWecpSTE2tX-yzRfOhzEfYg4I7VUie6l3,NLP
2. Warm Start,வார்ம் ஸ்டார்ட்,Initializing a model with pre-trained weights instead of random ones.,Starting Tamil training using an existing English-Tamil base.,ஏற்கனவே பயிற்றுவிக்கப்பட்ட மதிப்புகளுடன் பயிற்சியைத் தொடங்குதல்.,ஏற்கனவே உள்ள தரவுகளுடன் ஒரு தமிழ் மாதிரியின் பயிற்சியைத் தொடங்குதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTM2g4qV11J8ccStpZUImuPYIcTWh-Mb-KPxB5RWxfbChT7I76gRYeR15n6TEne,NLP
3. Weak Supervision,பலவீனமான மேற்பார்வை,Using noisy or imprecise sources for training labels.,Using keywords to auto-label 1000 Tamil tweets.,தோராயமான தரவுகளைக் கொண்டு லேபிள்களை உருவாக்கிப் பயிற்றுவித்தல்.,முக்கியச் சொற்களைப் பயன்படுத்தி 1000 தமிழ் பதிவுகளுக்கு லேபிளிடுதல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQRZmr9JNLuT9AdtGHpG4Q_DlZuiJdGrpDnORMzw4HAp8y0oi4m8Q0l7QbReyh8,NLP
4. Web Scraping,வலைத் தரவு சேகரிப்பு,Automatically extracting data from websites.,Extracting news articles from a Tamil news portal.,இணையதளங்களிலிருந்து தானியங்கி முறையில் தரவுகளைச் சேகரித்தல்.,ஒரு தமிழ் செய்தி இணையதளத்திலிருந்து செய்திகளைத் திரட்டுதல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT9Ma4w8fO7wUSsQjvN4hK1WTogJU_whI80lm9zz6ySnAlsJTCd7vr7eQzbcToy,NLP
5. Weight,எடை (வெயிட்),Numerical value determining the importance of an input.,A high weight assigned to a key word in sentiment analysis.,ஒரு உள்ளீட்டின் முக்கியத்துவத்தைத் தீர்மானிக்கும் எண் மதிப்பு.,ஒரு தமிழ் சொல்லிற்கு பகுப்பாய்வில் அதிக முக்கியத்துவம் அளித்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSV7S8uLrQvlhurvOJdKj8VQ-sQT5o16pIug00NCUHG8twDON3i21j65nH9uHw1,NLP
6. Weight Decay,எடை சிதைவு,A technique to penalize large weights to prevent overfitting.,Reducing weights in a Tamil model to keep it simple.,எடைகளைக் குறைப்பதன் மூலம் மாதிரியைச் சீராக வைத்திருக்கும் முறை.,ஒரு தமிழ் மாதிரியில் எடைகளைக் குறைத்து அதன் துல்லியத்தை நிலைப்படுத்துதல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTyRSo0Yp65kiMou1Mcqw_Eqmqbvua67FA0fd6QHVIiQsVCS4ADd44ocjN7F-Dy,NLP
7. Weight Initialization,எடைத் தொடக்கம்,Setting initial values of weights in a neural network.,Setting starting values for a Tamil grammar checker.,நரம்பு வலைப்பின்னலில் எடைகளுக்கு ஆரம்ப மதிப்புகளை அமைத்தல்.,தமிழ் இலக்கணத் திருத்தி மாதிரிக்கு ஆரம்ப மதிப்புகளை அமைத்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSuq-5oX2lhlePduLv3QaLjtbZrsTHihlWwrFPlvMCsIEs8a3SjfyVkw9llmvjQ,NLP
8. Weighted Average,எடையிடப்பட்ட சராசரி,Average where some values contribute more than others.,Giving more importance to specific words in a summary.,சில மதிப்புகளுக்கு அதிக முக்கியத்துவம் அளித்து எடுக்கப்படும் சராசரி.,ஒரு தமிழ் சுருக்கத்தில் சில முக்கியச் சொற்களுக்கு அதிக மதிப்பு அளித்தல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRO-qQ5v5Wgmm7wfKNIVtSZ-XX30No4LG9J0UJ-MXAeheGsUtuQlldp6e2p3Gb7,NLP
9. Whitening,சீரமைத்தல் (Whitening),A transformation that decorrelates features.,Processing Tamil word vectors to remove redundant info.,தரவுகளில் உள்ள தேவையற்ற தொடர்புகளை நீக்கிச் சீரமைக்கும் முறை.,தமிழ் வெக்டர்களில் உள்ள தேவையற்ற தகவல்களை நீக்கிச் சீரமைத்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQM0YZMRXeAjsVPiEEMfiQP5CZmAdQzCewhNIrDfmpBt_VCj6PZhQJD0IR8SEwB,NLP
10. Wide Model,அகன்ற மாதிரி,A model that memorizes simple rules and features.,An AI that memorizes specific Tamil idioms exactly.,எளிய விதிகள் மற்றும் அம்சங்களை அப்படியே நினைவில் கொள்ளும் மாதிரி.,குறிப்பிட்ட தமிழ் மரபுத்தொடர்களை அப்படியே மனப்பாடம் செய்யும் AI.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHcUMKfRM2mxuuhHuXw-OBHUjKS2IhGT6Ce_qFij0SMz34wrp5w4Ei1VFuZ0v5,NLP
1. X-axis,எக்ஸ்-அச்சு,The horizontal axis in a graph showing data.,Plotting Tamil word length on the X-axis.,வரைபடத்தில் கிடைமட்டமாக இருக்கும் அச்சு.,தமிழ் சொற்களின் நீளத்தை எக்ஸ்-அச்சில் குறித்தல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQOoxngeNnRomexYwJ2YWWxsmSNSYi3FIiS1dNag5_kRvX0hJLGezvosTceITP,NLP
2. X-Bar Theory,எக்ஸ்-பார் கோட்பாடு,A theory of structural hierarchy in grammar.,Using X-bar rules to parse Tamil noun phrases.,இலக்கண அமைப்பின் படிநிலையை விளக்கும் கோட்பாடு.,தமிழ் பெயர்ச்சொல் தொடர்களை எக்ஸ்-பார் முறையில் பகுத்தல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT7hemd4YOuTWQuDPmcK9AbJNhy3TixSVr35-R5Wfindynep0AZzhkQ7CG6Qzln,NLP
3. Xavier Initialization,சேவியர் தொடக்கம்,A method to initialize weights in neural networks.,Using Xavier setup for a Tamil AI model.,நரம்பு வலைப்பின்னலில் ஆரம்ப எடைகளைச் சீராக அமைத்தல்.,ஒரு தமிழ் AI மாதிரிக்குச் சேவியர் முறையைப் பயன்படுத்தல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTIG1wkJmZlaAmtR6gVEHMENzIFRfbX6gJ9JTYCDItaMCP10Jle5JSTkeXlsvlj,NLP
4. X-Encoder,எக்ஸ்-குறியீட்டாக்கி,A cross-modal encoder for different data types.,An X-encoder linking Tamil text to images.,வெவ்வேறு தரவுகளைப் புரிந்து எண்களாக மாற்றும் கருவி.,தமிழ் உரையையும் படங்களையும் இணைக்கும் குறியீட்டாக்கி.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRSSyuOfC_ItpiUigRXHdt8T5U8JjRsM83iA3iCZcs-97ZIt6Jnphut9B9Dy6z0,NLP
5. Xenolinguistics,வேற்றுமொழி ஆய்வு,The study of non-human or alien languages.,"Analyzing AI-generated ""alien"" Tamil scripts.",விசித்திரமான அல்லது செயற்கையான மொழிகளை ஆய்வு செய்தல்.,AI உருவாக்கிய விசித்திரமான தமிழ் எழுத்துருக்களை ஆய்வு செய்தல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRGqrO6FQX3kgOUV-uE_5wIAwmj8qtDa_f-n9IJ_w8x_L-5l6I2AZoer99wUCcd,NLP
6. X-Format,எக்ஸ்-வடிவம்,A generic placeholder for file formats.,Saving Tamil datasets in an X-format file.,பல்வேறு கோப்பு வடிவங்களைக் குறிக்கும் பொதுவான பெயர்.,தமிழ் தரவுகளை எக்ஸ்-வடிவக் கோப்புகளில் சேமித்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3Xt-yPqzgZGLjwyR5Cm_a-vz-PwI7JbUSxN80oDeQcKbfXjv2UJ4n1KCvQtJi,NLP
7. XHTML,எக்ஸ்.எச்.டி.எம்.எல்,An XML-based version of HTML.,Extracting Tamil content from XHTML pages.,இணையப் பக்கங்களுக்கான சீரான குறியீட்டு மொழி.,XHTML இணையப் பக்கங்களிலிருந்து தமிழ் உரையை எடுத்தல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8tY7J7Mxjd6Pmm2uAmPUy_sdqOuva8Mtd-WqHc3peMslilf279C9UOYzccsP1,NLP
8. X-Information,எக்ஸ்-தகவல்,Input information represented by variable X.,Feeding Tamil word vectors as X-information.,ஒரு மாதிரியில் உள்ளீடாக வழங்கப்படும் தகவல்.,தமிழ் சொல் வெக்டர்களை உள்ளீடு தகவலாக வழங்குதல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS407I9cpdY-AjV2ORNEykTbcOweD2181EN4WsNUSQom3kOQIxndzBEiaas-Qey,NLP
9. XLM,எக்ஸ்.எல்.எம்,A cross-lingual language model.,Using XLM to translate Tamil to French.,பல மொழிகளில் ஒன்றாகப் பயிற்றுவிக்கப்பட்ட மாதிரி.,தமிழ்-பிரஞ்சு மொழிபெயர்ப்பிற்கு XLM மாதிரியைப் பயன்படுத்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQLDye2oxAktdEXgMsi3Gh2ZQHOVlEB7qNh_3SqxBy-jKZbFKVxeJjfPZeK6Rxe,NLP
10. XLNet,எக்ஸ்.எல்.நெட்,An autoregressive pre-training method.,Using XLNet for Tamil context understanding.,மேம்படுத்தப்பட்ட ஒரு மொழிப் புரிதல் மாதிரி.,தமிழை நன்கு புரிந்துகொள்ள XLNet மாதிரியைப் பயன்படுத்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRfteTnotELES5kKAJVQktH648mCujS8tljuyCNIm2wXAJAOrr3aWIwjfi1mypH,NLP
1. Y-axis,ஒய்-அச்சு,The vertical axis in a graph showing error rates or probability.,Plotting the loss of a Tamil model on the y-axis.,வரைபடத்தில் செங்குத்தாக இருக்கும் அச்சு.,ஒரு தமிழ் மாதிரியின் இழப்பு விகிதத்தை ஒய்-அச்சில் குறித்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZBsVUe6mXbY3PxaOQg0RP6TeEU6hiDc8aI3ccraB3aWGEC9MtB9RgtIi5gXCC,NLP
2. YAML Configuration,யாமல் கட்டமைப்பு,A human-readable data format used for model settings.,Storing Tamil language codes in a YAML file.,தரவுகளைக் குறிக்கப் பயன்படும் எளிமையான கோப்பு வடிவம்.,ஒரு YAML கோப்பில் தமிழ் மொழி குறியீடுகளைச் சேமித்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRB2SWqfOcqmEyCCKHUFRcAlI6doQEt3AGvwqFWxQBKJLb8VpB3vQzL8I6ugsda,NLP
3. Yarding,தரவுச் சேகரிப்பு,Gathering linguistic data from specific digital fields.,Collecting Tamil dialect samples from social media.,குறிப்பிட்ட இடங்களிலிருந்து மொழித் தரவுகளைத் திரட்டுதல்.,சமூக ஊடகங்களிலிருந்து தமிழ் வட்டார வழக்குத் தரவுகளைத் திரட்டுதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQWr35Pn5QBaRgGDNPvEjCkPMHhbD5m1fe2lUKpdUsUe7Ss5ESr_Ecb8PoOZo5B,NLP
4. Yarning,உரையாடல் முறை,A conversational method used to gather indigenous data.,Using a storytelling approach for Tamil NLP research.,கதை சொல்லும் பாணியிலான தகவல் சேகரிப்பு முறை.,தமிழ் NLP ஆய்வுக்காகக் கதை சொல்லும் முறையைப் பயன்படுத்துதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTQnp-YJe4ndJdvFX7JFn1Y2P72JrzHIUIUBPwKigetKldGIcjo8A3egzrYLIMP,NLP
5. Year Extraction,ஆண்டு பிரித்தெடுத்தல்,Identifying and pulling year mentions from text.,"An AI finding ""1947"" in a Tamil history article.",உரையிலிருந்து ஆண்டுகளை மட்டும் தனியாகப் பிரித்தல்.,"தமிழ் வரலாற்றுக் கட்டுரையில் ""1947"" என்பதைக் கண்டறிதல்.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTo8MJ2aUf-5JPlIQl4Qc09z0Ca_5ewK9FN_6aPKCgHLTfdqmOEq0SfFzxaydpK,NLP
6. Yes/No Classification,ஆம்/இல்லை வகைப்பாடு,Binary classification of text into positive or negative responses.,"Classifying Tamil customer feedback as ""Yes"" or ""No"".",உரையை ஆம் அல்லது இல்லை என இரண்டு பிரிவாகப் பிரித்தல்.,"தமிழ் வாடிக்கையாளர் கருத்தை ""ஆம்"" அல்லது ""இல்லை"" என வகைப்படுத்தல்.",https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvyK4FU1uSqwAjnh3YVR84g5nZaANXbh5nAWrXaBGD9DNOBwY81Rv-DOVgHCF3,NLP
7. Yielding,விளைவித்தல்,When a parser produces a specific syntactic structure.,A parser yielding a tree for a Tamil sentence.,ஒரு பகுப்பாய்வி இலக்கணக் கட்டமைப்பைத் தருதல்.,ஒரு தமிழ் வாக்கியத்திற்கு இலக்கணக் கட்டமைப்பை உருவாக்குதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS3rXXmFRQ2jR-LNOfdxvuf70Dw3URrXQXiMgx40K_MsBE9PUTaHTACAeD1gJdm,NLP
8. Y-intercept,ஒய்-வெட்டுப்புள்ளி,The point where a regression line crosses the Y-axis.,Calculating the base error of a Tamil model.,ஒரு கோடு ஒய்-அச்சைச் சந்திக்கும் புள்ளி.,ஒரு தமிழ் மாதிரியின் அடிப்படைப் பிழையைக் கணக்கிடுதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRpW19sa1-UQom3wADt2WGUYiFj2c5b_wGCU1jpIyKBmqS73GPCJ-1pfT72Zqe-,NLP
9. Y-Label,ஒய்-லேபிள்,The target or output label in a supervised learning dataset.,"The Tamil category ""சினிமா"" acting as the y-label.",ஒரு மாதிரியில் நாம் கணிக்க வேண்டிய வெளியீட்டு அடையாளம்.,"""சினிமா"" என்ற தமிழ் பிரிவை வெளியீட்டு அடையாளமாகக் கொள்ளல்.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4Me_vb-Lx7MvEjsbYDCqmnPjtJh0b0Kz75GSl9qCBIk52HWKhrmKI8y8X8kN1,NLP
10. Y-Net,ஒய்-நெட்,A neural network architecture used for multi-modal tasks.,Processing Tamil text and images through a Y-Net.,ஒய் வடிவிலான ஒரு நரம்பு வலைப்பின்னல் அமைப்பு.,தமிழ் உரை மற்றும் படங்களை ஒன்றாகச் செயல்படுத்த இதைப் பயன்படுத்தல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRIqA8JKtWVBr8vFxIyBswzhwQjw1xg0pND93VLFWw464X7ztDpeUUyxqetmCU,NLP
1. Z-axis,இசட்-அச்சு,The third dimension in a 3D word embedding plot.,Visualizing Tamil word clusters in a 3D space.,முப்பரிமாண வரைபடத்தில் ஆழத்தைக் குறிக்கும் அச்சு.,தமிழ் சொற்களை ஒரு முப்பரிமாண வெளியில் வரைபடமாக்குதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQFrIhw9-ZwPcl9o_Aac9MAmr99FaxoZzmd1hj55F99k1Iq0W2Xx8FqkOcK_u_Z,NLP
2. Z-buffering,இசட்-பப்பரிங்,Managing image depth coordinates in visual NLP tasks.,Rendering Tamil text on top of 3D objects in a video.,முப்பரிமாணக் காட்சிகளில் ஆழத்தை நிர்வகிக்கும் முறை.,வீடியோவில் 3D பொருள்களின் மேல் தமிழ் உரையை அமைத்தல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSTwiJalwyu5lnQx7tAFsTZHNIYXPu83CJyJCeTlCtIKi5KVGXCMkUXC8CziNvT,NLP
3. Z-coefficient,இசட்-கெழு,A numerical value used in statistical NLP tests.,Measuring the significance of a Tamil search result.,புள்ளிவிவர ஆய்வுகளில் பயன்படுத்தப்படும் ஒரு எண் மதிப்பு.,ஒரு தமிழ் தேடல் முடிவின் முக்கியத்துவத்தை அளவிடுதல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRM6hA23e1fA8NyJfnqXO17sMJFi7S5VlcECQ_muUP5lqx5QrrnpWSuvXy3EgsG,NLP
4. Z-distribution,இசட்-விநியோகம்,A standard normal distribution with mean 0 and variance 1.,Checking if Tamil sentence lengths follow a Z-distribution.,சராசரி 0 ஆகக் கொண்ட ஒரு சீரான பரவல் முறை.,தமிழ் வாக்கிய நீளங்கள் சீராகப் பரவியுள்ளனவா எனச் சோதித்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT-3DPh-ULXrnGhNSAQtpNaMLCjTeQAlpPQBXViwMJEKYe3q4Tt7IAC8KNiKhm0,NLP
5. Zebraic Pattern,வரிக்குதிரை முறை,A visual pattern used in data highlighting.,Highlighting alternate lines in a Tamil dataset for readability.,தரவுகளில் மாற்று வரிகளைத் தடித்த நிறத்தில் காட்டும் முறை.,வாசிக்க எளிதாக இருக்கத் தமிழ் தரவு வரிகளுக்கு நிறமிடுதல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRRnxAwA3DvZmvT9uIKc8Knl7VDVgd7S4mS39LdxJ4YmNBNMIuvD4xUA6piuj2K,NLP
6. Z-elements,இசட்-உறுப்புகள்,Hidden components in certain deep learning architectures.,Identifying Z-elements in a Tamil speech model.,ஆழமான கற்றல் மாதிரிகளில் உள்ள மறைமுகக் கூறுகள்.,தமிழ் பேச்சு மாதிரியில் உள்ள மறைமுகக் கூறுகளை அறிதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRmG_2DgWmA40v-4540czZlOb0xwyraPgLKKfXBBudnN534x-fli18cS1Bi8BEa,NLP
7. Z-entropy,இசட்-என்ட்ரோபி,A measure of randomness in a standard normal system.,Calculating the randomness in Tamil character sequences.,ஒரு அமைப்பில் உள்ள ஒழுங்கற்ற தன்மையை அளவிடுதல்.,தமிழ் எழுத்து வரிசைகளில் உள்ள ஒழுங்கற்ற தன்மையை அளவிடல்.,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTixaXDsPg09CzI56wv9Tgd16WLk4rpIUtoH4TEoZqy9YCZVzYWKmiVYaTXWISi,NLP
8. Z-filter,இசட்-வடிகட்டி,A digital filter used to remove noise from signals.,Cleaning background noise from a Tamil voice recording.,சிக்னல்களில் உள்ள இரைச்சலை நீக்கப் பயன்படும் வடிகட்டி.,தமிழ் குரல் பதிவில் உள்ள இரைச்சலை நீக்கிச் சுத்தப்படுத்துதல்.,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT6CmLDXgOPpm2lrtdDRXWkUQnRPBvJGNpFQfHrdrn5s0pIsQ_w_cNU8rXYRKY9,NLP
9. Z-folding,இசட்-மடித்தல்,A technique to reduce memory usage in long sequences.,Processing long Tamil documents using Z-folding.,நீண்ட உரைகளை நினைவகத்திற்காகச் சுருக்கும் ஒரு நுட்பம்.,நீண்ட தமிழ் ஆவணங்களை நினைவகச் சிக்கலின்றிச் செயல்படுத்தல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSulURevWBv-A4BWCxn_asjM6d5qLw7Y_sIUbQC2tbdVVOW6jOWNF8gMt7OYxIX,NLP
10. Zero-aligning,சுழிய-சீரமைப்பு,Aligning words where one language has no equivalent.,Aligning a Tamil word that has no English translation.,இணையில்லாத சொற்களைப் பூஜ்ஜியத்துடன் சீரமைத்தல்.,ஆங்கிலத்தில் இணையில்லாத தமிழ் சொற்களைச் சீரமைத்தல்.,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSfTxiipsoZfdL9JN76hvEPsKfUEwy7-qN04Jx873KE5IXcr3D-SOJKT-HG9gNb,NLP
Array,வரிசை அணிவகுப்பு,A data structure that stores multiple elements of the same type in contiguous memory locations.,Storing marks of 5 students in an array.,ஒரே வகை தரவுகளை தொடர்ச்சியான memory இடங்களில் சேமிக்கும் தரவமைப்பே Array.,ஒரு வகுப்பில் 5 மாணவர்களின் மதிப்பெண்களை ஒரே பட்டியலாக வைத்தல்.,https://media.geeksforgeeks.org/wp-content/cdn-uploads/20230726162247/Array-data-structure.png,DS
Adjacency List,அண்டை பட்டியல்,Represents a graph by storing a list of neighbors for each vertex.,Representing friend connections in a social network.,ஒரு node-க்கு எந்த node-கள் இணைந்துள்ளன என்பதை பட்டியலாக காட்டும் graph அமைப்பு.,ஒரு நபருக்கு எந்த நண்பர்கள் இருக்கிறார்கள் என்று list வைத்தல்.,https://media.geeksforgeeks.org/wp-content/uploads/20241022101636506544/graph-representation-of-directed-graph-to-adjacency-list.webp,DS
Adjacency Matrix,அண்டை அணி,Represents a graph using a 2D matrix to show connections between vertices.,Using 0 and 1 to represent road connectivity between cities.,node-கள் இணைந்துள்ளதா இல்லையா என்பதை 2D அணி மூலம் காட்டும் graph முறை.,நகரங்களுக்கு இடையில் சாலை இருக்கிறதா இல்லையா என்று அட்டவணை போடுவது.,https://media.geeksforgeeks.org/wp-content/uploads/20230727130331/Undirected_to_Adjacency_matrix.png,DS
Algorithm,செயல்முறை படிகள்,A step-by-step procedure to solve a problem efficiently.,Steps to find the largest number in a list.,ஒரு பிரச்சினையை தீர்க்க வரிசையாக அமைக்கப்பட்ட படிகளே Algorithm.,மிக உயர்ந்த மதிப்பெண் கண்டுபிடிக்க படிப்படியாக செய்வது.,https://media.geeksforgeeks.org/wp-content/uploads/20251219123737199442/what_is_an_algorithm_.webp,DS
AVL Tree,சமநிலை இருமரம்,A self-balancing binary search tree where height difference is at most one.,Maintaining sorted data for fast search.,ஒவ்வொரு node-லிலும் height சமநிலையை தானாக பாதுகாக்கும் Binary Search Tree தான் AVL Tree.,books shelf-ஐ எப்போதும் சீராக வைத்தால் தேடல் சீக்கிரம் ஆகுவது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20250703161306662411/Example-of-an-AVL-Tree-11.webp,DS
Amortized Analysis,சராசரி செயல்திறன் ஆய்வு,Evaluates average performance over a sequence of operations.,Analyzing dynamic array insertion cost.,பல operation-களை சேர்த்து சராசரியாக ஒரு operation எவ்வளவு செலவாகிறது என்பதை கணக்கும் முறை.,மாதம் முழுவதும் செலவு பார்த்து தினசரி சராசரி செலவு கணக்கிடுவது.,https://media.geeksforgeeks.org/wp-content/cdn-uploads/Dynamic-Table.png,DS
Abstract Data Type (ADT),அப்ஸ்ட்ராக்ட் தரவு வகை,Defines data and operations without specifying implementation details.,Stack defined with push and pop operations.,"data எப்படி வேலை செய்ய வேண்டும் என்பதை மட்டும் சொல்லி, எப்படி implement செய்வது என்று சொல்லாத அமைப்பே ADT.","TV remote என்ன வேலை செய்கிறது தெரியும், உள்ளே circuit எப்படி இருக்கிறது தெரியாதது போல.",https://media.geeksforgeeks.org/wp-content/uploads/20190828194629/ADT.jpg,DS
ArrayList,இயக்கத்தக்க வரிசை பட்டியல்,A dynamic array that can grow or shrink automatically.,Adding elements dynamically in Java ArrayList.,தேவைப்படும் போது தானாக அளவு மாற்றிக் கொள்ளும் Array வகை தான் ArrayList.,பை நிரம்பினால் இன்னொரு பை சேர்த்துக் கொள்வது போல.,https://miro.medium.com/0*5w9-ibvGwT1EpeH9.png,DS
